N,estimator,d1_obs_chi,d1_exp_chi,d1_perc_bias,d1_perc_reject,d2_obs_chi,d2_exp_chi,d2_perc_bias,d2_perc_reject,d3_obs_chi,d3_exp_chi,d3_perc_bias,d3_perc_reject
100,ML,23.42,22,6,9.6,26.89,22,22,22.2,29.82,22,36,34.4
100,SB,24.19,22,9,12.1,23.8,22,8,8.5,25.07,22,14,11.1
100,ADF,31,22,41,30.5,34.95,22,59,40.8,46.45,22,111,63.2
200,ML,22.48,22,2,6,27.7,22,26,26.5,31.77,22,44,36.7
200,SB,22.86,22,3,7,23.75,22,8,8.5,24.1,22,10,8.5
200,ADF,26.43,22,20,17.5,26.06,22,18,14.5,28.52,22,30,22
500,ML,21.89,22,0,6,26.68,22,21,19,31.86,22,45,32.5
500,SB,22.02,22,0,7,21.9,22,0,5.5,23.33,22,6,6.5
500,ADF,23.13,22,5,7,23.04,22,5,8,24.02,22,9,5.5
1000,ML,22.25,22,0,5,26.05,22,18,14.5,33.37,22,52,41.5
1000,SB,22.31,22,0,3.5,21.14,22,4,4,22.74,22,3,7
1000,ADF,22.09,22,0,6,23.32,22,6,9.5,23.41,22,6,7.5
