N,estimator,d1_obs_chi,d1_exp_chi,d1_perc_bias,d1_perc_reject,d2_obs_chi,d2_exp_chi,d2_perc_bias,d2_perc_reject,d3_obs_chi,d3_exp_chi,d3_perc_bias,d3_perc_reject
100,ML,34.03,32.52,5,48.7,40.37,32.52,24,63.4,45.15,32.45,39,78.6
100,SB,34.97,32.56,7,51.8,33.94,29.76,14,45.5,34.09,27.33,25,50.3
100,ADF,47.99,30.66,56,82.1,48.67,27.19,79,85.4,63.25,25.06,152,91.8
200,ML,43.75,43.14,1,81.1,49.84,43.14,16,91,58.14,43.01,35,88.1
200,SB,44.34,43.23,3,81.6,39.55,37.59,5,67.9,38.48,32.71,18,60.4
200,ADF,46.42,39.41,18,85.5,41.84,32.43,29,73.4,46.05,28.16,64,84.5
500,ML,75.29,75.04,0,100,81.35,75.04,8,100,91.71,74.68,23,100
500,SB,75.62,75.23,0,100,62.09,61.09,2,97,55.94,48.85,15,92.6
500,ADF,69.62,65.66,6,100,53.84,48.15,12,94.2,49.13,37.45,31,93.2
1000,ML,128.71,128.2,0,100,133.86,128.2,4,100,144.56,127.46,13,100
1000,SB,129.16,128.56,0,100,100.48,100.26,0,100,83.44,75.76,10,100
1000,ADF,111.39,109.41,2,100,80.91,74.35,9,100,68.25,52.92,30,100
